1;arms_factory;2947.00;9.90;1357.00;0.41;0
1;arms_factory;2950.00;10.65;1371.00;3.07;0
1;arms_factory;2943.00;10.73;1369.00;6.09;0
1;arms_factory;2944.00;11.23;1369.00;2.47;0
1;arms_factory;2952.00;10.65;1363.00;5.13;0
1;arms_factory;2952.00;10.65;1363.00;1.52;0
1;industrial_complex;2948.00;12.95;1364.00;4.54;0
1;industrial_complex;2949.00;13.12;1365.00;5.74;0
1;industrial_complex;2951.00;10.73;1357.00;3.58;0
1;industrial_complex;2952.00;10.78;1370.00;5.14;0
1;industrial_complex;2948.00;10.10;1372.00;1.52;0
1;industrial_complex;2948.00;12.95;1369.00;4.19;0
1;naval_base;2955.00;9.60;1367.00;0.98;5579
1;naval_base;2942.00;9.90;1370.00;-2.60;5555
1;naval_base;2945.00;9.50;1354.00;-0.79;5579
1;bunker;2948.00;10.73;1358.00;0.47;0
1;bunker;2947.00;12.38;1364.00;2.04;0
1;bunker;2951.00;11.40;1369.00;4.70;0
1;coastal_bunker;2954.00;9.80;1369.00;0.98;0
1;coastal_bunker;2940.00;9.50;1360.00;-0.79;0
1;coastal_bunker;2942.00;9.62;1367.00;-1.19;0
1;dockyard;2952.00;9.50;1374.00;-3.00;0
1;synthetic_refinery;2949.00;13.12;1365.00;5.81;0
1;fuel_silo;2948.00;10.10;1372.00;4.25;0
2;arms_factory;3016.00;12.90;1363.00;6.09;0
2;arms_factory;2996.00;9.70;1362.00;2.47;0
2;arms_factory;3017.00;11.28;1356.00;5.13;0
2;arms_factory;3001.00;10.07;1367.00;1.52;0
2;arms_factory;3004.00;10.75;1371.00;4.54;0
2;arms_factory;3010.00;9.93;1353.00;5.74;0
2;industrial_complex;3006.00;10.15;1357.00;3.58;0
2;industrial_complex;3018.00;10.60;1352.00;5.14;0
2;industrial_complex;3006.00;10.53;1364.00;1.52;0
2;industrial_complex;2989.00;9.70;1369.00;4.19;0
2;industrial_complex;3009.00;9.68;1351.00;2.03;0
2;industrial_complex;3002.00;10.12;1368.00;5.05;0
2;naval_base;3020.00;9.50;1348.00;0.32;1452
2;naval_base;3005.00;9.50;1351.00;-0.46;5656
2;naval_base;2994.00;9.50;1361.00;-0.93;5656
2;naval_base;3022.00;9.50;1347.00;0.17;1452
2;naval_base;2989.00;9.50;1366.00;-0.90;5579
2;bunker;3002.00;10.40;1371.00;3.74;0
2;bunker;3007.00;9.70;1353.00;0.48;0
2;bunker;3000.00;9.73;1362.00;3.14;0
2;bunker;2989.00;9.68;1368.00;5.81;0
2;bunker;3010.00;11.48;1363.00;2.54;0
2;bunker;3023.00;10.43;1351.00;5.21;0
2;bunker;3003.00;9.93;1361.00;1.59;0
2;coastal_bunker;3011.00;9.50;1348.00;0.32;0
2;coastal_bunker;2986.00;9.50;1368.00;-0.90;0
2;coastal_bunker;2996.00;9.50;1358.00;-0.93;0
2;coastal_bunker;3003.00;9.50;1352.00;-0.46;0
2;coastal_bunker;3020.00;9.50;1347.00;0.17;0
2;dockyard;2996.00;9.50;1358.00;-0.93;0
2;synthetic_refinery;3007.00;9.70;1353.00;0.64;0
2;fuel_silo;3021.00;10.20;1351.00;0.55;0
3;arms_factory;2913.00;10.10;1456.00;5.13;0
3;arms_factory;2934.00;13.93;1457.00;1.52;0
3;arms_factory;2923.00;14.03;1448.00;4.54;0
3;arms_factory;2921.00;13.30;1447.00;5.74;0
3;arms_factory;2924.00;16.62;1438.00;3.58;0
3;arms_factory;2916.00;10.73;1443.00;5.14;0
3;industrial_complex;2907.00;9.57;1448.00;1.52;0
3;industrial_complex;2915.00;10.10;1454.00;4.19;0
3;industrial_complex;2935.00;14.30;1455.00;2.03;0
3;industrial_complex;2926.00;14.10;1454.00;5.05;0
3;industrial_complex;2931.00;15.25;1446.00;6.25;0
3;industrial_complex;2923.00;10.53;1461.00;4.09;0
3;bunker;2902.00;10.18;1445.00;2.04;0
3;bunker;2920.00;14.75;1440.00;4.70;0
3;bunker;2919.00;13.50;1451.00;2.54;0
3;bunker;2916.00;10.53;1460.00;3.74;0
3;bunker;2926.00;16.02;1442.00;0.48;0
3;bunker;2911.00;10.10;1456.00;3.14;0
3;bunker;2926.00;13.03;1458.00;5.81;0
3;bunker;2930.00;15.62;1450.00;2.54;0
3;bunker;2931.00;13.80;1458.00;5.21;0
3;bunker;2926.00;10.50;1463.00;1.59;0
3;bunker;2930.00;15.68;1444.00;4.25;0
3;synthetic_refinery;2922.00;15.78;1439.00;0.99;0
3;fuel_silo;2925.00;10.53;1463.00;5.72;0
4;arms_factory;3058.00;10.20;1457.00;4.54;0
4;arms_factory;3053.00;12.60;1469.00;5.74;0
4;arms_factory;3049.00;11.55;1452.00;3.58;0
4;arms_factory;3061.00;10.90;1472.00;5.14;0
4;arms_factory;3071.00;9.70;1477.00;1.52;0
4;arms_factory;3065.00;10.05;1486.00;4.19;0
4;industrial_complex;3055.00;13.23;1472.00;2.03;0
4;industrial_complex;3054.00;13.15;1478.00;5.05;0
4;industrial_complex;3050.00;13.88;1471.00;6.25;0
4;industrial_complex;3059.00;10.03;1490.00;4.09;0
4;industrial_complex;3057.00;12.15;1484.00;0.47;0
4;industrial_complex;3061.00;10.80;1475.00;2.04;0
4;bunker;3058.00;10.30;1463.00;2.54;0
4;bunker;3059.00;10.35;1465.00;3.74;0
4;bunker;3040.00;13.23;1452.00;0.48;0
4;bunker;3055.00;13.00;1475.00;3.14;0
